City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,La Ronge,CA,55.1001,-105.2842,77.25,38,75,8.05,broken clouds
308,Andenes,NO,69.3143,16.1194,49.98,87,75,6.91,broken clouds
309,Tangzhai,CN,34.4328,116.5911,74.08,96,50,1.7,scattered clouds
310,Bathsheba,BB,13.2167,-59.5167,86.61,82,20,24.16,few clouds
311,Sobolevo,RU,54.4299,31.8996,52.09,88,17,6.31,few clouds
312,Valparaiso,CL,-33.0393,-71.6273,62.83,60,0,9.22,clear sky
313,Manuk Mangkaw,PH,4.8,119.85,82.63,72,100,4.5,light rain
314,Hailey,US,43.5196,-114.3153,91.89,16,83,15.64,broken clouds
315,Concordia,AR,-31.393,-58.0209,52.79,63,0,11.99,clear sky
316,Port Augusta,AU,-32.5,137.7667,43.34,86,2,2.98,clear sky
317,Makakilo City,US,21.3469,-158.0858,82.72,64,100,25.32,overcast clouds
318,Jacmel,HT,18.2342,-72.5347,98.44,55,16,8.86,few clouds
319,Kozhva,RU,65.1073,57.0459,61.45,96,100,2.42,overcast clouds
320,Pacific Grove,US,36.6177,-121.9166,80.2,85,40,11.5,scattered clouds
321,Adrar,MR,20.5022,-10.0711,101.73,9,60,9.28,broken clouds
322,Porto Novo,BJ,6.4965,2.6036,75.4,86,38,7.47,scattered clouds
323,Sao Miguel,BR,-5.4667,-35.3667,75.97,79,65,16.91,broken clouds
324,Maragogi,BR,-9.0122,-35.2225,74.77,81,72,9.55,broken clouds
325,Lar,IN,26.2039,83.9717,90.68,55,66,12.84,broken clouds
326,Sekovici,BA,44.2986,18.8528,61.25,50,1,3.38,clear sky
327,Basco,PH,20.4487,121.9702,84.67,79,100,13.89,overcast clouds
328,Sosnovo-Ozerskoye,RU,52.5249,111.5418,50.18,56,0,2.33,clear sky
329,San Pedro,PH,14.35,121.0167,78.03,93,20,4.61,few clouds
330,Tutoia,BR,-2.7619,-42.2744,80.04,81,35,10.65,scattered clouds
331,Sunyani,GH,7.3399,-2.3268,70.39,98,99,5.59,overcast clouds
332,Genhe,CN,50.7833,121.5167,59.16,98,68,0.58,broken clouds
